,Area (sq ft),Bedrooms,Bathrooms,Garage Spaces,Age (years),Floors,Lot Size (sq ft),Nearby Schools Rating,Crime Rate (per 1000),Median Income ($1000s),Price ($1000s)
84,3254,1,4,2,47,1,7999,7,2.850412997583268,62,1877.0774201489417
85,4445,5,3,1,31,2,1120,2,6.705464244875243,61,1841.4893272424338
86,1604,2,2,2,13,3,7908,9,8.96895714438445,143,1747.6973545417923
87,3531,5,1,2,16,2,3303,7,5.821702434393645,86,1924.955098128582
88,3573,4,3,2,43,2,5861,6,5.321282642983578,85,1927.8728852740664
89,2370,6,2,1,21,1,3911,9,1.6878029250523463,102,1727.8260531401947
90,3490,2,1,0,2,2,9991,1,7.183023858062184,113,2138.394258544162
91,4640,4,3,1,27,3,8236,2,7.052756334415118,124,2426.337341868641
92,1828,6,3,0,38,2,6565,1,9.672818784105091,50,1236.1984324035632
93,1302,2,2,2,26,2,7531,3,3.0719026246260777,137,1383.2760678452626
94,1670,3,1,2,38,2,2109,5,7.588810216038564,47,1024.3754954990302
95,1006,1,1,2,46,2,7929,1,4.397246085856527,23,865.7462845244555
96,2284,1,3,2,25,2,2250,4,5.628880636999736,37,1255.0908261568923
97,1663,4,3,2,11,1,9177,8,8.182893170445526,66,1701.5362762091831
98,3590,6,3,0,8,3,2649,6,2.2977509456878584,28,1864.2136022128382
99,1363,1,1,0,8,1,8351,1,3.494400521321408,48,1189.897746519462
100,4991,6,2,2,33,3,6911,1,7.75575583495621,111,2388.249327035038
101,2557,6,2,1,7,3,3956,3,5.747533361349823,83,1639.4840037250397
102,2478,4,1,1,38,3,6828,8,1.014986877360195,130,1791.5858583757047
103,4042,4,4,2,21,3,5994,8,4.358840081107279,143,2425.2101431898677
104,1859,4,2,0,8,3,7436,3,5.907669798432861,129,1639.0645007344665
105,2522,1,3,1,21,2,9676,7,9.104221432806021,137,1977.74527003926
106,4114,4,4,1,20,1,8614,3,1.966031694392523,119,2335.7956607205933
107,3957,1,4,1,8,1,9994,4,8.07893438693708,50,2227.9328656467383
108,3425,4,2,2,46,2,2715,9,1.3931823824582545,100,1819.550876633485
109,3529,5,4,1,31,3,9150,4,2.4981330347504915,65,2114.7869420413617
110,2397,6,4,1,29,1,4483,3,2.509104446552218,68,1522.8785208161453
111,3860,4,2,1,48,2,8675,5,8.787044039497443,61,2024.063594258453
112,3493,2,2,1,9,2,2757,7,2.070275150948372,131,1978.6687567876268
113,4427,6,4,0,15,1,2809,5,7.89091119715555,46,2112.1783754915164
114,2163,6,3,2,30,1,6539,4,4.671884686794237,107,1625.395066830074
115,2781,4,1,2,26,3,7048,8,9.990998601193377,140,1961.7212070655796
116,2463,3,4,0,10,3,2151,4,8.407005836655843,22,1382.7012134434462
117,2329,4,4,0,29,1,6492,2,7.423061031033398,79,1499.6224881628475
118,2838,6,3,2,16,3,7711,6,8.720190435856736,98,2010.1148515120658
119,4102,2,4,1,36,2,7302,2,6.376900886789833,51,1987.583911290397
120,3037,6,4,1,20,3,5747,3,8.452157339632127,26,1733.9333453679267
121,2106,2,1,2,45,3,9402,1,2.685155788878413,90,1446.6471384104755
122,4829,1,1,1,37,2,5681,5,1.067261789900642,147,2339.969445752231
123,3475,5,1,0,22,3,3507,9,6.197726870158021,77,1938.0871486622177
124,2082,6,2,1,7,2,3963,2,4.403434887369501,131,1573.089146060603
125,1509,4,2,1,23,3,4428,7,4.321763873395076,67,1318.466029321946
126,4548,1,1,1,41,1,8494,5,5.314803739057457,130,2298.5845326384742
127,1463,5,1,2,40,3,4955,2,3.6776878544988714,90,1170.311258867694
128,2798,4,2,0,29,1,4705,8,6.297989361284008,94,1735.9060848969887
129,4245,3,3,1,16,1,5038,6,0.4026268367415361,93,2209.9898494338377
130,4543,4,4,2,38,1,1713,4,9.701924284629456,140,2099.235842889474
131,2295,2,4,1,28,1,8260,4,9.254619021251147,74,1622.7464848719692
132,4104,2,1,0,48,1,8011,2,9.359174609561142,60,1877.8114456971316
133,4563,3,3,1,38,2,9879,3,3.713534606278812,116,2408.2375410694663
134,2653,1,2,0,31,2,9521,7,5.365720480825088,52,1758.3827121686516
135,2091,5,1,1,14,2,2746,3,9.545892970269994,53,1304.9042555860242
136,4381,4,3,0,33,1,2207,5,9.033225958633107,81,1955.0523381026924
137,4257,2,3,1,9,3,1784,6,7.923420311421358,38,1978.1802719812435
138,2436,1,3,0,27,2,3696,6,4.1325827394911645,29,1370.5603072487236
139,4496,3,2,1,24,3,8073,4,5.686958309503517,139,2423.6882284912454
140,3799,6,2,1,13,3,6036,6,7.949833494744812,142,2299.005287292941
141,3952,2,4,2,26,1,8127,3,2.8028187558463147,123,2204.516874649138
142,1498,3,4,2,29,1,4718,7,6.301848745458303,24,1226.23760007463
143,2960,4,3,0,49,1,6775,7,8.296549816033382,77,1742.8203065141051
144,4897,5,3,1,43,2,8910,4,7.103802438155723,78,2436.1549128721836
145,1654,2,2,0,28,1,3693,2,4.846858248790907,147,1249.8660805935642
146,4274,2,4,2,28,2,1625,7,5.887622759596067,105,2084.447768860792
147,2507,4,3,0,8,2,4708,3,9.887887877143362,123,1666.7903461615851
148,3577,6,4,0,23,2,7859,1,6.0596791670073795,148,2144.432949973213
149,2533,1,4,2,29,2,9953,2,7.877615764784573,57,1680.7084171669073
150,4310,5,3,1,5,1,8692,9,7.29338716733886,126,2659.4608732131055
151,1002,2,2,0,42,2,7398,8,7.044757093740696,128,1283.8802204877634
152,4055,5,3,2,7,1,8252,6,7.192053645629032,72,2379.694858076075
153,1566,2,3,1,42,1,2555,6,4.598656537686492,71,1070.4088111752153
154,3127,5,4,2,36,2,9867,1,4.79418572772944,20,1822.1868879750805
155,3731,3,3,0,41,1,5187,2,4.731841099871745,30,1687.8947058134768
156,997,2,2,1,27,3,8767,4,0.42922061140482015,77,1249.6477087634678
157,2730,5,3,1,46,1,1036,3,2.4865467702900026,147,1482.446452243557
158,4382,1,2,2,2,1,2787,1,1.6301836658338398,63,1953.3575261221831
159,1408,3,2,2,25,2,7283,8,8.875805612832847,25,1337.8713988646314
160,4072,3,4,2,9,2,9060,7,2.8221967278841955,27,2343.741131446588
161,1947,1,1,1,27,1,9065,4,1.47058208120885,24,1384.0520105176508
162,4197,5,1,1,1,2,4880,9,1.285692625917761,125,2423.09187509725
163,3311,4,4,0,23,3,6932,4,7.029899362066371,131,2050.630468056142
164,2594,1,3,1,10,3,9328,1,0.16022477805809693,36,1677.3763913173555
165,1459,5,4,0,42,2,7333,1,4.765913577389432,28,1134.2362122680047
166,3611,1,2,2,25,1,6759,1,1.276823945422143,97,1871.9803273427256
167,2169,1,1,2,3,3,7485,1,8.511667438595461,33,1460.6539682857424
168,2786,2,4,1,6,3,6067,4,9.588658528879337,132,1903.2611578031572
169,946,5,3,2,6,1,1661,1,9.591670700527546,110,1026.3130137730197
170,4019,4,4,2,2,2,8973,2,4.475444678573016,44,2278.5623986964097
171,3711,2,1,1,18,3,7386,4,6.480696761904485,117,2090.418517907653
172,2534,1,4,0,23,1,8887,7,6.037070951456371,22,1702.5735408254964
173,2643,6,4,1,2,1,1414,2,3.5653851237209344,131,1652.3996570967497
174,1288,1,1,0,12,3,7850,8,4.496238465063258,66,1392.7059187180657
175,3776,1,2,1,22,2,9534,7,0.7368046026095283,69,2206.4382405392953
176,2759,5,2,1,37,3,3729,9,7.9774204234477235,143,1796.1516514422149
177,3185,5,1,2,20,1,4897,6,2.4839547703307288,109,1921.8454675228522
178,3719,2,4,1,39,3,3169,4,4.659220578250125,86,1795.9182454528684
179,2602,4,1,1,24,2,2878,6,4.858145262804775,21,1402.412965646596
180,4861,2,2,0,48,1,7454,4,5.65104621759805,21,2089.4143521779542
181,4169,3,3,2,20,2,5570,7,8.19697871509209,84,2230.436609119277
182,1062,1,4,0,1,3,2515,9,6.949622357219122,110,1310.7523649480554
183,1423,6,2,0,1,3,1574,3,6.664324186379001,135,1295.3536345083246
184,1816,1,4,2,17,2,3867,3,5.314780408468904,68,1299.0512373189836
185,4443,1,1,2,1,3,4544,2,1.0499619739712402,88,2147.4691324460896
186,2849,2,3,2,45,2,5477,1,4.0798838693435275,145,1617.8906136673538
187,4523,6,1,1,30,3,1071,1,9.577436827776467,72,1848.2176430002282
188,3908,6,3,2,41,2,3980,3,9.9559259453537,131,1975.67398160896
189,4890,6,4,2,47,2,6492,7,7.331931646399091,132,2542.0886024022902
190,2856,2,4,2,3,1,5759,9,2.352398134438986,133,2098.2652021489303
191,3970,1,1,0,46,1,9084,2,1.1087173954336198,67,1902.6389102103733
192,2482,2,3,0,11,2,1039,7,4.206167154557372,50,1451.1861890891146
193,3055,5,3,1,24,3,6373,1,8.580061833357423,56,1734.368736903402
194,1954,5,4,0,22,3,8565,2,7.246455974960504,127,1684.1851833827102
195,3991,2,1,1,44,3,2900,6,8.850533151656938,47,1730.6252581856857
196,2496,6,3,0,45,2,3217,5,6.196185515506757,89,1467.9956408633032
197,4791,1,4,2,26,2,5796,8,1.3902508094379542,33,2312.1091789816473
198,2448,2,2,0,13,2,5606,2,1.2364800732818244,141,1658.7273628151067
199,2245,2,1,1,1,2,2283,1,0.5752227960382799,35,1233.1631469682034
200,4999,2,2,0,24,1,9775,7,5.714091708677957,44,2507.404553252511
201,4723,3,1,2,10,2,9650,6,2.5045737425854115,85,2596.9825105695313
202,1053,5,4,1,35,3,1815,8,7.3703980494140096,57,1059.7189706389263
203,3983,6,3,2,24,1,3511,8,6.893874364989322,122,2199.872342351465
204,3357,4,3,2,28,3,1246,2,3.249296349842338,117,1690.4851118944691
205,898,6,3,1,36,2,5825,8,1.8503364979942374,134,1360.7293532366773
206,3000,4,1,2,16,1,7516,6,1.113763462980412,59,1902.6107872926534
207,3761,3,4,2,40,2,1416,9,7.399421210749661,83,1890.3061239434062
208,4577,2,2,0,16,1,7702,7,4.559365854716738,108,2441.3676572199147
209,3669,3,4,2,17,3,4717,2,3.3029461503635758,119,1994.828439381134
210,4034,3,2,2,15,2,1107,8,8.58086485648249,101,2010.865834827452
211,4591,1,1,2,16,2,5513,9,5.976770844036902,96,2363.1787976995015
212,1756,5,1,2,15,1,2421,7,5.228223130326186,78,1347.4406524252447
213,4867,4,2,1,34,1,8283,4,7.459453733258596,110,2445.3538636164994
214,960,2,2,0,11,2,1255,9,8.174273088329354,117,1141.2285778278504
215,2100,4,2,2,1,1,8248,4,6.892124238684923,20,1594.7268688523852
216,4787,6,4,2,15,2,3962,4,4.456062554133592,32,2252.880456885
217,2327,4,2,1,26,1,3282,9,3.8550580474546563,49,1497.6935774161939
218,2018,6,1,2,4,3,9744,8,7.739482888899752,37,1839.1704873960305
219,3904,5,1,1,43,1,9372,4,5.227280890338832,97,2140.839680137291
220,3535,6,3,0,5,3,2477,8,7.073422177322025,51,1952.1841338769314
221,1754,4,2,0,35,1,9762,8,8.914948011897463,90,1636.011021958909
222,4246,4,4,2,13,1,5952,7,9.167317283893361,69,2297.526904677796
223,1845,6,4,2,10,2,6880,6,2.849384828481669,135,1803.5452117087193
224,2493,3,4,2,11,1,6592,8,1.9601105076978897,132,1982.9665341155687
225,4236,5,3,1,18,1,8091,7,2.686744867334695,99,2435.98343554266
226,1362,1,1,2,34,3,1591,5,7.538580528301477,50,914.4714562891421
227,3285,2,4,2,39,1,7277,4,3.763574556856986,70,1842.1701974466616
228,4154,4,1,0,41,2,3260,2,1.8165538803291648,79,1792.7720384712484
229,1025,2,3,2,42,3,1347,8,1.0740163758189958,52,935.0318445734758
230,1759,1,2,0,23,2,9357,9,3.34040056941391,146,1777.9077329484278
231,3867,2,2,2,7,2,6032,4,1.447750759470062,145,2212.300000614739
232,1615,1,2,0,39,2,5443,4,1.6480987640797389,60,1143.2270583476977
233,3920,6,4,2,3,2,9774,5,6.870451337118075,38,2374.8991222771233
234,816,3,2,0,12,3,7869,2,0.2953477471172123,60,1136.9683572636409
235,2043,4,4,1,7,1,6696,7,1.2637772900918363,104,1791.7188796432445
236,3005,1,3,0,49,2,4038,5,8.459218363009654,108,1566.5683702100125
237,3324,2,3,0,26,3,3845,6,8.464649441680706,61,1750.6275824126387
238,1869,4,4,0,33,2,8864,4,3.359510439759412,139,1691.1645766058227
239,4244,3,1,2,37,1,7609,8,0.970734782850417,42,2160.941020013366
240,3365,6,2,2,48,3,2265,8,7.079206304691338,52,1703.27499681085
241,1860,4,2,2,15,3,3274,5,3.6653037089613565,39,1303.4761407783592
242,3127,1,2,1,2,1,3470,6,0.5500998093287658,109,1842.8159027654315
243,4220,3,4,1,41,3,3577,3,1.6624871148680058,123,2032.4628857772611
244,1101,2,3,0,7,1,4660,1,1.4584266384438407,31,1012.777110857084
245,1406,3,2,1,32,3,2068,9,5.932251803893855,70,1177.744467854061
246,3970,3,3,0,4,3,6591,9,8.991364077675257,25,2216.989376312958
247,1499,5,2,0,20,1,6974,3,7.951413129902228,110,1403.530197301888
248,1939,3,2,0,36,1,5829,4,5.510508845670578,88,1332.2977579814685
249,990,3,4,1,32,3,2950,7,4.279336132782053,142,1234.9893427434472
250,3100,4,1,2,28,3,9283,2,6.224899419781763,134,1993.673568617486
251,1780,2,4,1,13,1,4093,3,4.4937461357028,130,1432.4974307923012
252,3775,4,2,0,1,1,6311,6,2.536381313505528,80,2175.1547987703575
253,1984,4,2,0,35,3,2387,8,6.824054807987568,126,1407.6500143779028
254,4127,1,1,1,48,3,5274,1,8.745115062839078,97,1797.492113707897
255,4194,4,3,0,30,3,3285,4,3.791416273740519,114,2065.8819035984407
256,927,5,3,0,36,1,4206,1,8.431230830144235,93,939.9602650153879
257,2865,5,2,1,25,3,3924,2,4.367712260186555,67,1568.5389051540233
258,2616,1,3,1,16,2,8045,8,4.073225836684317,115,1941.437152710059
259,1369,6,2,1,19,1,9471,6,0.38041113971557394,50,1509.0675010671473
260,2695,2,1,0,1,3,2618,9,6.983261123537362,53,1659.9803055622485
261,3533,2,1,0,5,1,9562,2,8.094274998626847,106,2092.236931812882
262,4663,4,2,2,22,2,6896,3,6.669213503629754,102,2349.5971737381205
263,4814,4,1,2,24,1,8843,9,1.5984734187802407,66,2561.4576110774165
264,3701,6,4,1,43,3,8063,9,1.122605328771167,148,2379.6689610736835
265,2486,4,4,2,45,2,9495,6,5.771301641023541,144,1934.129668674039
266,3809,2,1,0,37,2,2348,3,4.0750109164275585,96,1664.173945464156
267,954,3,2,2,36,3,6556,5,4.348068056507336,22,1044.074522554568
268,3337,5,2,0,36,3,6289,2,9.681222442755777,111,1822.8112611596293
269,2209,3,1,1,4,3,3422,7,7.266834444811347,119,1645.0620028329968
270,4857,3,3,1,36,1,4628,8,4.176698618156791,146,2434.4202003267646
271,1584,2,4,0,18,1,3428,6,0.2890828704329774,87,1305.3058207239617
272,3975,3,3,2,16,1,4033,8,0.43754740874737563,109,2220.736045138109
273,3606,6,2,1,41,3,7157,2,6.879556586893976,108,1969.1249355799528
274,1337,1,2,1,18,3,9860,3,8.393613719225863,29,1290.4785824859819
275,2641,4,3,2,22,1,9691,7,7.106256032541869,27,1863.4015995286386
276,3255,1,1,2,2,2,8813,1,4.118288750786782,31,1823.7094811827858
277,1324,5,3,0,21,1,2414,7,0.4082438055126387,83,1225.6593793302982
278,3750,4,3,2,36,2,7708,6,9.677276139328775,137,2212.0016632946426
279,4931,3,4,2,44,3,9721,8,9.864727015365059,78,2610.269030622974
280,4915,5,4,2,39,3,7635,7,5.5387090592982595,69,2512.3814266207205
281,3168,4,3,0,47,1,4621,4,0.7996425504815453,59,1603.1262367342083
282,4647,6,3,0,39,1,6315,3,5.455627808553222,141,2340.4362576516523
283,3501,6,2,1,29,3,1754,3,8.934150855186003,116,1772.747929761627
284,1771,6,4,0,26,1,3347,4,6.831856550269314,146,1440.095587556975
285,1966,6,4,1,21,3,1726,9,7.22789338722397,106,1554.5939005961095
286,3574,3,2,2,17,3,5923,9,0.9412013905792679,96,2159.0128061878136
287,2782,1,1,1,16,2,3649,2,1.1544652066148344,140,1625.6818005453133
288,1653,4,4,1,31,1,3815,5,1.3607528861212643,130,1371.0758440086895
289,4946,3,4,2,9,3,4279,1,9.053330653243828,148,2424.89223852595
290,4536,6,1,1,31,1,3984,4,5.305911399011752,60,2053.5885630509024
291,4569,1,4,0,14,2,4807,2,7.9365934542906125,42,2060.5461721424454
292,1374,5,4,0,49,2,8876,8,1.2413834728476423,97,1513.6824210660427
293,4061,5,1,0,37,1,7099,4,9.28366278453509,30,1934.2211558085082
294,1948,5,1,0,2,1,1607,5,8.229306705822381,90,1351.6672067364607
295,2515,6,3,1,48,3,7169,4,2.3251650332760256,45,1570.7126396190636
296,4654,5,2,1,46,2,8790,5,8.754404109610139,49,2275.8062217758848
297,3291,2,2,2,14,2,6573,5,2.708083318028412,121,2040.4409221395026
298,3460,4,1,1,33,2,1634,5,2.1328648054566597,88,1684.2528734245966
299,3924,4,1,1,35,1,2074,3,2.7160149744409026,80,1733.4779386521502
300,3851,6,4,1,39,3,2914,7,9.108555126398832,125,2057.8294338784017
301,804,2,3,2,47,1,1588,3,9.164360656597209,42,642.0174060779582
302,1676,3,3,0,20,1,4231,2,3.3570581694108914,132,1313.4949670052656
303,1791,3,1,1,2,1,7351,3,7.0837984324360574,49,1438.2147474848261
304,4942,5,4,2,41,3,4838,3,6.789878026125415,86,2277.472897156755
305,1435,1,4,2,19,1,2973,8,8.084970058090992,140,1402.3526758057355
306,2493,3,2,2,37,2,6044,4,3.0354440514070977,102,1596.3665850690052
307,2482,1,2,0,18,2,7103,3,5.150371564912978,81,1584.473052762156
308,919,4,4,1,16,2,7683,5,6.7099721149820395,76,1325.2192343051756
309,1630,1,2,2,4,3,6837,4,0.3599425062180699,20,1345.600990057827
310,4475,4,1,0,12,1,7783,9,3.829713578776451,121,2545.8478361104167
311,2169,2,4,2,29,3,6594,8,6.989294741017832,88,1686.6138938125519
312,1540,2,2,2,7,1,4822,7,2.600691421879421,78,1391.2455139130927
313,916,6,3,2,14,2,4389,8,9.581270659364224,65,1259.8459983694265
314,3638,6,4,2,12,1,6914,5,0.39859757791770567,125,2283.629086402849
315,1950,5,4,2,35,1,2780,4,9.585063157115487,53,1245.525770001461
316,2731,3,3,0,5,1,4688,7,2.2459622933029606,120,1874.3628690730443
317,1812,5,1,1,17,3,8211,1,0.5833382150611629,116,1550.375933260183
318,2464,4,3,1,42,1,6037,6,2.9954929289132193,48,1527.4318910582986
319,1881,5,4,1,32,1,7319,8,7.884194842173231,142,1749.5107470460296
320,1312,1,1,1,10,1,9640,7,7.5491758638357265,92,1526.516273710764
321,3649,4,2,0,43,3,1081,2,2.1675201225856413,23,1449.5954494390426
322,1359,6,2,0,17,3,7278,7,2.0482223225588143,57,1453.2055285729282
323,4472,2,2,0,5,3,7999,6,6.461541166464953,39,2320.849976776128
324,4143,6,4,2,45,1,2406,5,4.635018627789732,132,2051.943908662152
325,4870,3,3,2,42,2,8410,4,7.943670537975932,42,2288.114043132066
326,2270,4,1,2,9,2,2480,1,0.33891450905628057,130,1457.1979739754522
327,1380,4,2,1,49,2,4598,2,6.143077421529654,64,1004.4213220241887
328,3094,1,1,2,33,1,8993,7,7.333652921174771,116,1961.6670515884275
329,3947,3,4,1,36,2,5183,3,9.934522509083823,52,1893.8879219487974
330,2479,2,2,2,36,2,4680,5,6.819938772944784,41,1410.750518388585
331,4306,4,4,1,18,2,8644,8,2.3952670498446667,34,2413.237873007646
332,3544,4,3,2,9,1,5310,8,1.171043329312384,40,2042.0004693067553
333,4156,1,4,2,29,2,2758,6,6.445076068976346,145,2102.349570722603
334,4845,5,4,0,14,2,3599,5,5.279512368430338,108,2390.68793295031
335,2043,2,3,2,25,1,6616,2,9.001538355605662,36,1351.6937758545034
336,3918,6,1,2,15,3,6813,9,7.293419409694622,75,2290.8579450137927
337,2941,3,3,0,6,2,4853,1,5.146450255421944,69,1648.5539776377293
338,3859,4,3,1,42,3,3292,2,4.095535760574961,137,1893.9809153770857
339,3759,4,4,0,29,2,2501,1,4.10330952575112,141,1856.4213120557692
340,3065,6,1,0,15,1,9422,4,2.3404124328972222,69,1990.5800255640886
341,3279,2,2,1,29,3,8550,4,0.27152712038140087,79,1935.1777027905387
342,2435,5,3,2,4,3,5250,5,5.791614823250351,144,1877.2245371936156
343,2557,4,1,1,18,3,7991,5,2.2029058519798306,135,1886.5977248006195
344,2870,2,3,2,49,3,1114,8,2.1624364855076106,107,1541.124064891209
345,3649,6,3,2,44,2,5406,3,1.341274163897157,124,1974.8882481093376
346,4051,1,3,1,39,2,3347,6,1.9769953527492583,74,1894.7405227853048
347,4530,5,3,0,16,3,2041,3,0.414712580595863,83,2093.534883335333
348,3289,3,4,1,11,2,7927,2,6.774891352510466,115,2038.2531752057146
349,2431,4,1,2,14,3,1011,8,4.073831451495673,63,1491.7210933463407
350,3616,2,1,1,3,3,8980,1,5.659093527854136,149,2192.5810022704463
351,1815,1,1,1,42,1,8871,9,6.405880418405915,69,1483.9628830807012
352,2148,3,3,2,38,3,7375,7,9.727597166533975,130,1714.0643540617139
353,3887,2,4,0,45,2,8098,4,0.7758320719694598,118,2120.591413878511
